,Age,AnnualIncome,ChronicDiseases,EmploymentType,EverTravelledAbroad,FamilyMembers,FrequentFlyer,GraduateOrNot,InsurancePolicy
111,28,800000,No,Private,No,5,No,Yes,0
112,30,800000,No,Private,No,4,No,No,0
113,29,900000,No,Private,No,4,Yes,Yes,0
114,29,500000,No,Private,No,5,No,Yes,0
115,29,900000,No,Private,No,4,No,Yes,0
116,28,1150000,No,Private,No,5,No,Yes,1
117,31,400000,No,Government,No,5,No,Yes,0
118,31,1500000,Yes,Government,Yes,4,Yes,Yes,1
119,31,500000,No,Private,No,4,No,Yes,0
120,28,800000,Yes,Private,No,3,No,Yes,0
121,26,1400000,No,Private,Yes,6,No,Yes,1
122,32,800000,Yes,Government,No,6,No,Yes,0
123,27,850000,No,Government,No,3,No,Yes,0
124,32,350000,Yes,Government,No,4,No,Yes,0
125,29,500000,Yes,Private,No,3,No,Yes,1
126,32,800000,No,Government,No,5,Yes,Yes,0
127,27,750000,No,Government,No,5,No,Yes,0
128,31,1350000,No,Private,Yes,8,No,Yes,1
129,29,1050000,No,Private,No,6,No,Yes,0
130,28,800000,No,Private,No,4,No,Yes,0
131,28,750000,No,Private,No,4,No,Yes,0
132,28,1100000,No,Private,No,4,No,Yes,0
133,25,1750000,No,Private,Yes,4,No,Yes,1
134,28,600000,No,Private,No,5,Yes,Yes,0
135,28,800000,No,Private,Yes,6,No,Yes,1
136,29,500000,No,Private,No,6,No,Yes,1
137,29,600000,Yes,Private,No,4,Yes,Yes,0
138,28,1150000,No,Private,No,4,No,Yes,0
139,35,800000,Yes,Private,No,7,No,No,1
140,28,550000,Yes,Private,No,4,No,Yes,0
141,25,1400000,No,Private,Yes,3,No,Yes,0
142,32,350000,Yes,Government,No,9,No,Yes,0
143,26,1300000,No,Private,No,4,No,Yes,0
144,31,1250000,No,Private,No,4,No,Yes,0
145,28,1150000,No,Private,No,6,No,Yes,0
146,30,750000,Yes,Private,No,3,No,No,1
147,31,400000,Yes,Government,No,4,No,No,0
148,25,1400000,No,Private,Yes,4,No,Yes,1
149,28,800000,Yes,Private,No,5,No,Yes,0
150,28,650000,Yes,Private,No,2,No,Yes,1
151,29,1200000,No,Private,No,7,No,Yes,1
152,28,1200000,No,Private,No,5,Yes,Yes,0
153,25,600000,No,Private,No,5,Yes,No,0
154,28,700000,No,Private,No,4,Yes,Yes,0
155,34,1300000,No,Private,No,6,No,Yes,1
156,28,900000,No,Private,No,4,Yes,Yes,0
157,28,600000,Yes,Private,No,3,No,Yes,0
158,31,1250000,No,Private,No,6,Yes,Yes,1
159,27,900000,Yes,Government,No,7,No,Yes,0
160,31,1200000,Yes,Government,No,5,No,Yes,1
161,34,1400000,Yes,Private,Yes,3,No,No,1
162,34,500000,No,Private,No,7,No,Yes,1
163,32,350000,No,Government,No,5,No,Yes,0
164,28,300000,No,Government,No,6,No,Yes,0
165,33,1000000,No,Government,No,4,No,Yes,0
166,28,800000,No,Private,No,7,No,Yes,0
167,31,400000,No,Government,No,3,No,Yes,0
168,27,850000,Yes,Government,No,7,No,Yes,0
169,25,600000,No,Private,No,6,No,No,0
170,31,1350000,Yes,Private,Yes,6,No,Yes,1
171,28,900000,No,Private,No,7,No,Yes,0
172,27,600000,No,Private,No,8,No,No,0
173,26,450000,Yes,Private,No,5,No,Yes,1
174,34,700000,No,Private,No,6,Yes,Yes,1
175,30,800000,No,Private,No,3,No,No,0
176,34,1050000,No,Private,No,6,No,Yes,1
177,28,1250000,No,Private,No,5,No,Yes,0
178,32,350000,No,Government,No,6,No,Yes,0
179,26,1250000,No,Private,No,4,No,Yes,0
180,28,750000,No,Private,No,6,Yes,Yes,0
181,26,1300000,No,Private,No,3,No,Yes,0
182,35,800000,No,Private,No,3,Yes,No,1
183,25,1700000,Yes,Private,No,3,Yes,No,0
184,25,750000,No,Government,No,3,No,Yes,0
185,28,300000,No,Government,No,4,No,Yes,1
186,28,500000,No,Private,No,9,No,Yes,1
187,28,650000,No,Private,No,9,No,Yes,0
188,26,500000,No,Government,No,4,No,Yes,0
189,26,1400000,Yes,Private,Yes,7,No,Yes,1
190,27,900000,No,Government,No,5,No,Yes,0
191,30,650000,No,Private,Yes,3,No,No,0
192,28,800000,Yes,Private,Yes,4,No,Yes,0
193,34,1300000,Yes,Private,No,5,No,No,0
194,33,1100000,No,Government,No,5,No,Yes,0
195,25,1400000,No,Private,Yes,5,Yes,Yes,1
196,34,1000000,No,Private,No,7,No,Yes,1
197,29,1150000,Yes,Private,No,5,Yes,Yes,0
198,25,1350000,No,Private,Yes,4,No,No,1
199,30,1450000,No,Private,Yes,5,Yes,No,1
200,27,1050000,No,Government,No,4,No,Yes,1
201,31,1400000,No,Private,Yes,2,No,Yes,1
202,28,600000,No,Private,No,7,No,Yes,1
203,28,1100000,Yes,Private,No,4,No,Yes,0
204,32,900000,No,Government,No,4,Yes,Yes,0
205,29,1150000,Yes,Private,Yes,4,No,Yes,0
206,25,1150000,Yes,Private,No,5,No,No,1
207,31,350000,No,Government,No,3,No,No,0
208,29,1350000,No,Private,Yes,4,No,Yes,1
209,25,1700000,Yes,Private,No,3,Yes,No,0
210,28,1200000,Yes,Private,No,5,Yes,Yes,0
211,27,450000,No,Private,No,5,No,No,0
212,28,750000,Yes,Private,No,5,No,Yes,0
213,26,1400000,No,Private,Yes,5,Yes,Yes,1
214,27,850000,Yes,Government,Yes,5,No,Yes,0
215,33,1100000,No,Government,No,5,No,Yes,0
216,34,1050000,No,Private,No,8,No,Yes,1
217,28,800000,No,Private,No,6,No,Yes,0
218,26,1500000,No,Private,Yes,7,Yes,Yes,0
219,31,1250000,Yes,Private,No,9,No,Yes,0
220,35,800000,No,Private,No,2,No,No,0
221,28,1200000,Yes,Private,No,6,No,Yes,0
222,28,1200000,No,Private,No,3,No,Yes,0
223,30,650000,No,Private,No,3,No,No,0
224,31,1100000,No,Private,No,5,Yes,Yes,0
225,31,1250000,No,Private,No,2,No,Yes,0
226,34,1300000,Yes,Government,No,9,No,Yes,1
227,34,1300000,Yes,Private,No,6,No,Yes,0
228,34,1000000,No,Private,No,5,No,Yes,0
229,34,1000000,No,Private,No,2,No,Yes,0
230,29,900000,No,Private,No,7,Yes,Yes,0
231,31,1200000,Yes,Government,No,5,No,Yes,0
232,28,1250000,No,Private,No,6,No,Yes,0
233,31,1200000,Yes,Government,No,6,No,Yes,0
234,34,1300000,No,Private,No,4,No,Yes,0
235,30,550000,No,Private,No,4,No,No,0
236,26,1500000,No,Private,Yes,5,Yes,Yes,1
237,30,500000,No,Private,No,8,No,No,0
238,29,600000,Yes,Private,No,3,No,Yes,0
239,26,1250000,No,Private,No,5,No,Yes,0
240,27,350000,No,Private,No,7,No,No,0
241,35,800000,No,Private,No,6,No,No,1
242,33,400000,No,Government,No,4,No,Yes,0
243,26,750000,No,Private,No,6,No,Yes,0
244,27,500000,No,Government,No,4,No,Yes,0
245,28,1150000,No,Private,No,3,No,Yes,0
246,31,350000,Yes,Government,No,6,No,No,0
247,27,1050000,No,Government,No,3,Yes,Yes,1
248,34,1300000,No,Government,No,6,No,Yes,1
249,28,1150000,No,Private,No,5,No,Yes,0
250,34,1000000,Yes,Private,No,6,No,Yes,1
251,28,300000,No,Government,No,5,No,Yes,0
252,29,1350000,Yes,Private,Yes,5,No,Yes,1
253,28,1400000,No,Private,Yes,2,No,Yes,1
254,28,1200000,No,Government,No,5,No,Yes,0
255,34,1500000,No,Private,Yes,5,Yes,Yes,1
256,34,1300000,Yes,Government,Yes,7,No,Yes,1
257,33,550000,No,Private,No,5,No,Yes,1
258,29,900000,No,Private,No,7,Yes,Yes,0
259,33,400000,Yes,Government,No,3,No,Yes,1
260,26,1400000,Yes,Private,Yes,3,No,Yes,1
261,28,1100000,Yes,Private,No,4,No,Yes,1
262,26,750000,Yes,Private,No,4,No,Yes,0
263,35,800000,No,Private,No,4,No,No,0
264,29,350000,Yes,Private,No,9,No,Yes,0
265,27,850000,No,Government,No,6,Yes,Yes,0
266,31,400000,No,Government,No,5,No,Yes,0
267,33,1100000,No,Government,No,4,No,Yes,1
268,34,500000,No,Private,No,6,No,Yes,1
269,27,800000,No,Private,No,5,No,No,0
270,34,1300000,No,Government,Yes,6,No,Yes,1
271,35,900000,Yes,Government,No,3,No,Yes,0
272,28,700000,Yes,Private,No,3,No,Yes,0
273,34,1000000,No,Private,No,6,Yes,Yes,1
274,32,850000,No,Government,No,7,No,Yes,1
275,26,1400000,Yes,Private,Yes,4,No,Yes,1
276,29,1050000,No,Private,No,6,No,Yes,0
277,31,950000,No,Private,No,7,Yes,Yes,0
278,32,800000,Yes,Government,No,5,No,Yes,1
279,32,350000,No,Government,No,6,No,Yes,0
280,32,800000,No,Government,No,6,Yes,Yes,0
281,26,750000,No,Private,No,6,No,Yes,0
282,26,1400000,No,Private,Yes,4,No,Yes,1
283,26,600000,No,Private,No,4,Yes,Yes,0
284,28,750000,No,Private,No,3,No,Yes,1
285,33,750000,No,Private,No,4,No,Yes,0
286,28,600000,No,Private,No,3,No,Yes,0
287,29,1200000,No,Private,No,4,No,Yes,0
288,29,1100000,No,Private,No,4,No,Yes,0
289,26,500000,No,Private,No,3,No,Yes,0
290,32,900000,Yes,Government,No,6,No,Yes,0
291,34,1300000,No,Private,No,3,Yes,Yes,0
292,27,850000,No,Government,No,4,No,Yes,0
293,31,1250000,No,Private,No,3,No,Yes,1
294,29,1200000,No,Private,No,4,No,Yes,0
295,28,550000,No,Private,No,5,No,Yes,0
296,32,350000,No,Government,No,7,No,Yes,0
297,35,800000,Yes,Private,No,7,No,No,1
298,25,1700000,No,Private,No,4,Yes,No,1
299,27,450000,No,Private,No,3,No,No,0
300,32,900000,Yes,Government,No,5,No,Yes,1
301,27,850000,Yes,Government,No,4,No,Yes,0
302,34,700000,No,Private,No,6,No,Yes,1
303,31,300000,No,Government,No,3,No,No,0
304,34,1050000,No,Private,No,3,No,Yes,0
305,26,1250000,Yes,Private,Yes,4,No,Yes,0
306,33,650000,Yes,Government,No,5,No,Yes,1
307,28,1150000,Yes,Private,No,8,No,Yes,0
308,34,1000000,Yes,Private,No,9,No,Yes,0
309,33,650000,No,Government,No,4,No,Yes,1
310,30,550000,No,Private,No,8,No,No,0
311,34,1500000,No,Private,Yes,7,Yes,Yes,1
312,32,850000,No,Government,No,7,No,Yes,0
313,25,1150000,No,Private,No,4,No,No,1
314,26,1400000,No,Private,Yes,5,No,Yes,1
315,28,300000,No,Government,No,4,No,Yes,0
316,31,950000,Yes,Private,No,5,No,Yes,0
317,32,800000,No,Government,No,6,No,Yes,1
318,34,1100000,No,Government,No,3,No,Yes,1
319,25,1700000,Yes,Private,No,2,Yes,Yes,1
320,35,800000,No,Private,No,5,No,No,0
321,28,500000,No,Private,No,3,No,Yes,0
322,28,750000,No,Private,No,3,No,Yes,0
323,33,1400000,No,Private,Yes,5,No,Yes,1
324,28,300000,No,Government,No,5,No,Yes,0
325,31,1250000,No,Private,No,4,No,Yes,0
326,28,1150000,No,Private,No,5,No,Yes,0
327,34,1300000,No,Government,No,3,No,Yes,0
328,34,700000,No,Private,Yes,6,Yes,Yes,1
329,28,1100000,No,Private,No,8,No,Yes,0
330,35,800000,No,Private,No,4,No,No,0
331,33,550000,No,Private,No,4,No,Yes,1
332,31,1650000,Yes,Private,No,7,Yes,Yes,1
333,31,1400000,Yes,Private,Yes,6,No,Yes,0
334,29,1050000,No,Private,No,3,No,Yes,1
335,28,800000,No,Private,No,2,No,Yes,1
336,32,350000,Yes,Government,No,9,No,Yes,0
337,30,550000,No,Private,No,7,Yes,No,0
338,28,600000,No,Private,No,3,No,Yes,0
339,29,1050000,No,Private,No,5,No,Yes,0
340,27,800000,Yes,Private,No,7,No,No,0
341,28,550000,No,Private,No,7,No,Yes,0
342,28,1100000,No,Private,No,2,No,Yes,1
343,28,1250000,No,Private,No,7,No,Yes,0
344,32,800000,No,Government,Yes,4,Yes,Yes,0
345,29,1200000,No,Private,Yes,5,No,Yes,0
346,25,1800000,Yes,Private,No,7,Yes,Yes,1
347,34,1300000,No,Private,No,6,Yes,Yes,0
348,31,1400000,Yes,Private,Yes,6,No,Yes,0
349,28,500000,No,Private,No,3,No,Yes,0
350,31,950000,No,Private,Yes,5,Yes,Yes,0
351,29,1200000,Yes,Private,No,9,Yes,Yes,0
352,31,1350000,No,Private,Yes,6,No,Yes,1
353,31,300000,No,Government,No,3,No,No,0
354,25,1150000,No,Private,No,5,No,No,1
355,28,1400000,No,Private,Yes,3,No,Yes,1
356,34,1000000,No,Private,No,4,No,Yes,0
357,34,500000,No,Private,No,5,No,Yes,0
358,34,1000000,No,Private,No,5,Yes,Yes,0
359,25,1150000,No,Private,No,3,No,No,0
360,28,550000,No,Private,No,4,No,No,0
361,29,1350000,No,Private,Yes,4,No,Yes,1
362,28,700000,Yes,Private,No,2,No,Yes,0
363,34,1300000,No,Government,No,4,No,Yes,0
364,31,1200000,No,Government,No,6,No,Yes,0
365,25,1700000,No,Private,No,3,Yes,No,1
366,28,300000,No,Government,No,3,No,Yes,0
367,31,1300000,No,Government,No,4,No,Yes,0
368,35,800000,No,Private,No,3,No,No,1
369,32,800000,Yes,Government,No,7,No,Yes,0
370,31,1300000,No,Government,No,6,No,Yes,1
371,27,900000,Yes,Government,Yes,5,No,Yes,0
372,29,350000,Yes,Private,No,5,No,Yes,0
373,28,900000,No,Private,No,5,Yes,Yes,0
374,28,600000,No,Government,No,7,No,Yes,0
375,28,1100000,Yes,Private,No,6,No,Yes,0
376,31,1300000,No,Government,No,4,No,Yes,0
377,27,1550000,No,Private,No,4,Yes,No,1
378,25,1700000,No,Private,No,5,Yes,Yes,1
379,27,1550000,No,Private,No,6,Yes,No,1
380,28,1200000,Yes,Private,No,5,No,Yes,0
381,29,1200000,No,Private,No,5,No,Yes,0
382,31,1400000,No,Private,Yes,6,No,Yes,1
383,29,1100000,No,Private,No,4,No,Yes,0
384,33,600000,No,Government,Yes,3,No,Yes,0
385,34,1000000,No,Private,No,5,No,Yes,0
386,28,1350000,No,Private,Yes,5,No,Yes,1
387,28,300000,No,Government,No,5,No,Yes,0
388,28,550000,No,Private,No,5,No,Yes,0
389,31,1350000,No,Private,Yes,5,No,Yes,1
390,33,550000,No,Private,No,5,No,Yes,1
391,28,1200000,No,Government,No,5,No,Yes,1
392,31,950000,Yes,Private,No,4,No,Yes,1
393,29,1050000,No,Private,No,3,Yes,Yes,0
394,28,1200000,No,Private,No,4,No,Yes,1
395,32,800000,No,Government,No,5,No,Yes,0
396,33,650000,Yes,Government,No,6,No,Yes,1
397,25,750000,No,Government,No,5,No,Yes,0
398,28,1250000,No,Private,No,5,Yes,Yes,0
399,35,800000,No,Private,No,5,No,No,0
400,29,1200000,No,Private,No,4,Yes,Yes,0
401,34,700000,No,Private,No,4,No,Yes,0
402,31,1250000,No,Private,No,3,No,Yes,0
403,28,800000,Yes,Private,No,8,No,Yes,0
404,33,650000,Yes,Government,No,5,No,Yes,1
405,32,850000,No,Government,No,6,No,Yes,0
406,28,1200000,No,Private,No,9,No,Yes,1
407,25,1700000,No,Private,No,6,Yes,No,1
408,31,350000,No,Government,No,2,No,No,0
409,28,700000,No,Private,No,5,No,Yes,0
410,28,550000,No,Private,No,4,No,No,0
411,28,600000,No,Government,No,6,No,Yes,0
412,28,300000,Yes,Government,No,7,No,Yes,0
413,25,1700000,No,Private,No,5,Yes,Yes,1
414,33,1400000,No,Private,Yes,4,No,Yes,1
415,28,600000,No,Government,No,5,No,Yes,0
416,31,1400000,No,Private,Yes,7,No,Yes,1
417,31,1400000,No,Private,Yes,3,Yes,Yes,1
418,34,1000000,Yes,Private,No,3,No,Yes,0
419,25,1150000,No,Private,No,4,No,No,0
420,34,1050000,No,Private,No,5,No,Yes,0
421,28,300000,No,Government,No,4,No,Yes,0
422,34,1500000,Yes,Private,Yes,7,Yes,Yes,1
423,25,1400000,No,Private,Yes,5,No,Yes,1
424,29,1100000,Yes,Private,No,7,Yes,Yes,1
425,29,350000,Yes,Private,No,5,No,Yes,0
426,25,500000,No,Private,No,5,No,Yes,0
427,25,1400000,No,Private,Yes,7,Yes,Yes,1
428,28,700000,Yes,Private,No,5,No,Yes,0
429,32,350000,No,Government,No,2,No,Yes,0
430,26,1300000,No,Private,No,7,No,Yes,1
431,28,500000,No,Private,No,6,No,Yes,0
432,34,500000,No,Private,No,5,No,Yes,0
433,28,1100000,No,Private,No,4,No,Yes,0
434,34,1300000,No,Private,No,7,No,Yes,1
435,34,1500000,Yes,Private,Yes,4,Yes,Yes,1
436,28,1200000,Yes,Private,Yes,4,No,Yes,0
437,27,800000,No,Private,No,7,No,No,0
438,33,400000,Yes,Government,No,5,No,Yes,0
439,28,800000,No,Private,No,3,No,Yes,0
440,34,1000000,No,Private,No,4,No,Yes,1
441,34,850000,No,Private,No,5,No,Yes,1
442,29,1100000,No,Private,No,9,No,Yes,0
443,25,1150000,No,Private,No,6,No,No,1
444,28,700000,Yes,Private,No,4,No,Yes,1
445,27,1050000,Yes,Government,No,6,No,Yes,0
446,28,700000,No,Private,No,2,No,Yes,0
447,29,500000,No,Private,No,3,No,Yes,0
448,33,1500000,Yes,Private,Yes,4,Yes,Yes,1
449,31,500000,Yes,Private,No,3,No,Yes,1
450,31,1250000,No,Private,Yes,6,No,Yes,0
451,28,800000,No,Private,No,4,No,Yes,0
452,34,1300000,Yes,Private,No,4,No,Yes,1
453,31,1100000,No,Private,No,3,No,Yes,0
454,28,300000,No,Government,No,4,No,Yes,0
455,35,1100000,No,Government,No,4,No,Yes,0
456,26,1500000,Yes,Private,Yes,5,Yes,Yes,1
457,25,1150000,No,Private,No,4,No,No,0
458,26,750000,Yes,Private,No,3,No,Yes,0
459,34,1500000,No,Private,Yes,5,Yes,Yes,1
460,25,1350000,No,Private,Yes,6,No,No,1
461,35,900000,Yes,Government,No,4,No,Yes,1
462,26,1250000,Yes,Private,No,6,No,Yes,0
463,33,750000,Yes,Private,No,2,No,Yes,0
464,34,1500000,No,Private,Yes,5,Yes,Yes,1
465,26,1500000,No,Private,Yes,5,Yes,Yes,1
466,28,550000,No,Private,No,4,No,Yes,0
467,26,500000,No,Government,No,5,No,Yes,0
468,28,1200000,No,Private,No,5,No,Yes,0
469,25,1700000,No,Private,No,5,Yes,No,1
470,28,1300000,Yes,Private,No,2,No,Yes,0
471,26,1250000,No,Private,No,3,No,Yes,0
472,28,300000,No,Government,No,5,No,Yes,0
473,25,1400000,No,Private,Yes,8,No,Yes,1
474,31,1100000,Yes,Private,No,3,Yes,Yes,0
475,34,1000000,No,Private,No,4,No,Yes,1
476,33,1400000,Yes,Private,Yes,4,No,Yes,1
477,34,1500000,Yes,Private,Yes,6,Yes,Yes,1
478,29,900000,No,Private,No,4,No,Yes,0
479,34,1300000,Yes,Government,No,4,No,Yes,0
480,34,1050000,No,Private,No,7,Yes,Yes,1
481,29,1100000,No,Private,No,4,No,Yes,0
482,32,850000,No,Government,No,9,No,Yes,0
483,28,1150000,No,Private,No,4,No,Yes,0
484,33,800000,No,Government,No,6,No,Yes,1
485,27,450000,No,Private,No,4,No,No,0
486,33,550000,No,Private,No,4,Yes,Yes,0
487,34,850000,No,Private,No,4,No,Yes,1
488,28,300000,No,Government,No,3,No,Yes,0
489,30,800000,No,Private,No,9,No,No,0
490,29,1200000,Yes,Private,No,5,No,Yes,0
491,28,1100000,Yes,Private,No,4,No,Yes,1
492,34,500000,No,Private,No,3,No,Yes,0
493,29,1050000,No,Private,No,7,No,Yes,0
494,34,1300000,Yes,Government,Yes,5,No,Yes,0
495,31,1200000,No,Government,No,4,No,Yes,0
496,26,600000,No,Private,No,7,No,Yes,0
497,28,1200000,No,Private,No,5,Yes,Yes,1
498,29,600000,No,Private,No,5,No,Yes,0
499,32,350000,No,Government,No,6,No,Yes,0
500,26,1500000,No,Private,Yes,4,Yes,Yes,1
501,31,1250000,No,Private,No,3,No,Yes,0
502,28,300000,Yes,Government,No,4,No,Yes,1
503,31,1300000,No,Government,No,5,No,Yes,0
504,29,500000,No,Private,No,4,No,Yes,0
505,28,800000,No,Private,No,4,No,Yes,0
506,28,600000,No,Private,No,6,No,Yes,0
507,32,800000,Yes,Government,No,2,No,Yes,0
508,28,900000,No,Private,No,6,No,Yes,1
509,28,1450000,No,Private,Yes,6,Yes,Yes,1
510,31,950000,No,Private,No,5,No,Yes,0
511,31,1250000,No,Private,Yes,3,No,Yes,0
512,29,1100000,No,Private,No,5,Yes,Yes,0
513,27,850000,Yes,Government,No,5,No,Yes,0
514,28,500000,No,Private,No,4,No,Yes,1
515,27,850000,No,Government,No,7,Yes,Yes,0
516,31,1250000,Yes,Private,No,3,No,Yes,0
517,31,1250000,No,Private,No,5,No,Yes,1
518,29,1350000,No,Private,Yes,4,Yes,Yes,1
519,25,1700000,No,Private,No,3,Yes,No,1
520,35,1100000,Yes,Government,No,4,No,Yes,0
521,28,1100000,No,Private,No,6,No,Yes,0
522,35,800000,Yes,Private,No,6,No,No,1
523,33,400000,Yes,Government,No,5,No,Yes,0
524,32,800000,No,Government,No,4,No,Yes,0
525,26,500000,No,Private,No,9,No,Yes,0
526,31,1100000,Yes,Private,No,4,No,Yes,0
527,28,700000,Yes,Private,No,4,No,Yes,0
528,25,1150000,No,Private,No,5,No,No,0
529,28,1250000,No,Private,No,4,Yes,Yes,0
530,29,900000,No,Private,No,3,No,Yes,0
531,28,1150000,Yes,Private,No,6,No,Yes,0
532,31,1300000,Yes,Government,No,5,Yes,Yes,1
533,29,600000,No,Private,No,3,No,Yes,0
534,27,450000,No,Private,No,4,No,No,1
535,31,1350000,No,Private,Yes,5,No,Yes,1
536,30,500000,No,Private,No,3,No,No,0
537,29,600000,Yes,Private,No,8,No,Yes,1
538,28,1150000,Yes,Private,No,2,Yes,Yes,0
539,33,400000,No,Government,No,4,No,No,0
540,26,1500000,No,Private,Yes,3,Yes,Yes,1
541,29,1200000,No,Private,No,5,No,Yes,0
